,fips,poor-fair_health,obesity,below_18,over_65,smoking,drinking,Ethnic_Minority,AA,Asian,Hispanic,income_inequality,child_poverty,uninsured,household_income,unemployment,% labor_force,population,shape area,rural-urban_code,urban-influence_code,population density,rural,total cases,total deaths,% total cases,% total deaths,av_cases,av_deaths,av_days_spreading,av_r_SIR1,av_r_SIR2,av_r_ratio14,av_r_ratio8
2305,42045.0,0.1403752462,0.259,0.2195747801,0.1607484381,0.1476232422,0.18720190469999998,0.31170753830000003,0.2139841614,0.0596604191,0.0380629578,4.8948570224,0.131,0.10091743079999999,71961.0,4.0,0.5289873612035,566747.0,840202936.480469,1.0,1.0,674.5358477013301,0.0046388147,297645.0,22203.0,0.5270889115559523,0.03931850057376004,2471.240963855422,165.84337349397592,41.0,6.147032632161522,288.73622154622524,11.789609066575462,3.493780234746358
2306,42047.0,0.1192516591,0.297,0.1935622744,0.21641222640000002,0.1558440898,0.19678262489999998,0.0166572838,0.0043381793,0.0038414411999999998,0.0084776633,3.9756173665,0.135,0.096270523,54876.0,4.9,0.5241390839184219,29910.0,3837426770.57422,7.0,9.0,7.794285542945844,0.5567520189999999,280.0,11.0,0.009272444282544624,0.00036427459681425306,3.843137254901961,0.21568627450980393,25.0,0.9988867822513269,0.001522322045471612,1.4156862745098042,1.2147058823529415
2307,42049.0,0.1503005237,0.336,0.215133623,0.17316539239999998,0.1770471334,0.1928789732,0.1337687267,0.0729909194,0.017924463,0.0428533443,4.6432702676,0.24100000000000002,0.1094093123,48453.0,4.6,0.477670097283189,269728.0,3800673045.46875,2.0,2.0,70.96848289057012,0.2001953195,9883.0,177.0,0.03599826619703432,0.0006447124473211651,77.5072463768116,1.565217391304348,34.0,1.6758219636222198,2.7776321519209346,2.9620624543701335,1.938621200584743
2308,42051.0,0.1549284064,0.413,0.1933629395,0.20558310010000003,0.1934020355,0.1760299225,0.0615874803,0.0460974571,0.0037641440999999997,0.0117258791,5.1230649692000005,0.28,0.1161395785,50381.0,5.9,0.44303572257375806,129274.0,3519377519.57812,1.0,1.0,36.73206391779661,0.4789760333,5427.0,241.0,0.04126870665531086,0.0018326438739506023,61.149253731343286,2.7611940298507465,33.0,1.147546716073516,0.16868494893743413,2.8553637365000135,1.8624130957732354
2309,42053.0,0.1594037837,0.322,0.0970261751,0.22461285460000002,0.1725147047,0.2088246491,0.26860353579999996,0.2026860354,0.0017815541000000001,0.0641359463,3.0921698207999997,0.344,0.1284037836,41750.0,6.8,0.2508624258313785,7247.0,1990170963.55469,9.0,9.0,3.6413957055508273,1.0,448.0,0.0,0.061395093874194874,0.0,6.25,0.0,27.5,0.99925668780825,0.001921764016373646,1.3604166666666664,1.2431547619047616
2310,42055.0,0.12424946390000001,0.366,0.2233100354,0.19189672829999999,0.14848270619999998,0.1860606834,0.1027659271,0.0339095141,0.0109638601,0.0578925529,3.6913487908,0.139,0.1750780962,60744.0,3.8,0.5024092577421998,155027.0,3407763482.5625,3.0,2.0,45.49230038800286,0.40352096670000004,29192.0,1097.0,0.1892708481917087,0.007112569213013992,264.1304347826087,8.434782608695652,34.0,2.146438550726632,9.421015066224722,4.515253720037003,2.567980053360437
2311,42057.0,0.1354770453,0.303,0.2013022618,0.2100753941,0.1571011137,0.1992514945,0.0263193969,0.0109664154,0.0020562029,0.013296778600000001,3.9450774435000002,0.18100000000000002,0.1485208852,52277.0,4.4,0.5441844459738472,14530.0,1931489107.67969,8.0,7.0,7.522693212313778,1.0,541.0,25.0,0.037080191912268676,0.0017135023989033585,6.113207547169812,0.20754716981132076,26.0,1.019780134872749,0.007820256083836505,2.0529762690140037,1.5722832199247287
2312,42059.0,0.1450838466,0.332,0.19347293989999997,0.18322001629999998,0.1758114974,0.21339383420000002,0.0515365787,0.0327712809,0.003562687,0.0152026108,4.5161644337,0.217,0.1014828602,50956.0,5.1,0.45886346700521624,36233.0,2543157419.5,6.0,4.0,14.247250178922714,0.6683296283,1775.0,15.0,0.04827304868098994,0.0004079412564590699,21.796875,0.234375,31.5,1.0293405304811656,0.019823417286133026,1.5872655479436966,1.339130867578358
2313,42061.0,0.1593807541,0.32,0.1870699699,0.19992965640000002,0.1774564526,0.1997313319,0.0811369281,0.05504385480000001,0.0065287639,0.0195643094,4.2015278462,0.213,0.11761433889999999,49019.0,5.9,0.44329257487152224,45144.0,3977785917.06641,6.0,5.0,11.349027057065301,0.6866247031999999,8125.0,51.0,0.17860675738058077,0.0011211008770965686,79.77049180327869,0.14754098360655737,30.0,1.432964895359853,1.0552192361464188,3.6827949111748897,2.237288858007518
2314,42063.0,0.16533819689999998,0.311,0.18170046969999998,0.18859840149999998,0.18734999559999999,0.2188677556,0.0497804669,0.0246842372,0.012406860300000001,0.012689369399999999,4.7032170603,0.204,0.1448069599,47999.0,5.0,0.46572621412344034,84073.0,3757942885.57422,4.0,3.0,22.37208030029799,0.6006975698,4655.0,257.0,0.05479500429649335,0.0030252021706119853,53.63492063492063,2.9682539682539684,31.0,1.1601031014776824,0.16332851148753852,3.2315048219623113,2.000134408894799
